Basis,Line,,Product group,Rate,Yield,Uptime
Additional Days,E27,0.58,Shrink Sleeve,5.411185545173595,0.0,0.0
Additional Days,E27,0.59,Shrink Sleeve,5.989236440768309,0.0,0.0
Additional Days,E27,0.6,Shrink Sleeve,6.159266522557914,0.0,0.0
Additional Days,E27,0.61,Shrink Sleeve,6.658502048285783,0.0,0.0
Additional Days,E27,0.62,Shrink Sleeve,7.134208008352289,0.0,0.0
Additional Days,E27,0.63,Shrink Sleeve,7.832189171658058,0.0,0.0
Additional Days,E27,0.64,Shrink Sleeve,8.449845545281306,0.0,0.0
Additional Days,E27,0.65,Shrink Sleeve,9.015600791159528,0.0,0.0
Additional Days,E27,0.66,Shrink Sleeve,9.224879108360625,0.0,0.0
Additional Days,E27,0.67,Shrink Sleeve,9.950541117887639,0.0,0.0
Additional Days,E27,0.68,Shrink Sleeve,10.425929334292647,0.0,0.0
Additional Days,E27,0.69,Shrink Sleeve,10.937091515659915,0.0,0.0
Additional Days,E27,0.7,Shrink Sleeve,11.2893225180525,0.0,0.0
Additional Days,E27,0.71,Shrink Sleeve,11.596001008749369,0.0,0.0
Additional Days,E27,0.72,Shrink Sleeve,12.657236443328657,0.0,0.0
Additional Days,E27,0.73,Shrink Sleeve,13.544157606483282,0.0,0.0
Additional Days,E27,0.74,Shrink Sleeve,13.906800676481737,0.0,0.0
Additional Days,E27,0.75,Shrink Sleeve,14.442828355344687,0.0,0.0
Additional Days,E27,0.76,Shrink Sleeve,15.441520339765617,0.0,0.0
Additional Days,E27,0.77,Shrink Sleeve,16.26381215385996,0.0,0.0
Additional Days,E27,0.78,Shrink Sleeve,17.036053942147078,0.0,0.0
Additional Days,E27,0.79,Shrink Sleeve,17.76955324651354,0.0,0.0
Additional Days,E27,0.8,Shrink Sleeve,18.99378332125133,0.0,0.0
Additional Days,E27,0.81,Shrink Sleeve,20.73472472139332,0.0,0.0
Additional Days,E27,0.82,Shrink Sleeve,21.97808960085979,0.0,0.0
Additional Days,E27,0.83,Shrink Sleeve,23.36556402677064,0.0,0.0
Additional Days,E27,0.84,Shrink Sleeve,24.319425522420516,0.0,0.0
Additional Days,E27,0.85,Shrink Sleeve,24.951934866629756,0.0,0.0
Additional Days,E27,0.86,Shrink Sleeve,25.875335714290657,0.0,0.0
Additional Days,E27,0.87,Shrink Sleeve,26.92234566026221,0.0,0.0
Additional Days,E27,0.88,Shrink Sleeve,28.25792727956508,0.0,0.00013148148148148163
Additional Days,E27,0.89,Shrink Sleeve,28.90864524915699,0.0,0.03939236111111117
Additional Days,E27,0.9,Shrink Sleeve,29.745210880178576,0.0,0.06558101851851864
Additional Days,E27,0.91,Shrink Sleeve,31.081608131973212,0.0,0.07454884259259249
Additional Days,E27,0.92,Shrink Sleeve,33.49503643993151,0.0,0.09715833333333335
Additional Days,E27,0.93,Shrink Sleeve,34.49797852517838,0.0,0.11275069444444448
Additional Days,E27,0.94,Shrink Sleeve,36.83959863954129,0.0,0.13150046296296292
Additional Days,E27,0.95,Shrink Sleeve,39.0098275707268,0.0,0.17130324074074035
Additional Days,E27,0.96,Shrink Sleeve,42.44704612946248,0.0,0.2019912037037038
Additional Days,E27,0.97,Shrink Sleeve,49.11021342986362,0.0,0.2791189814814816
Additional Days,E27,0.98,Shrink Sleeve,59.002749954140086,0.0,0.43839537037036874
Additional Days,E27,0.99,Shrink Sleeve,67.53016974443392,0.0,0.8617986111111081
Additional Days,E27,1.0,Shrink Sleeve,168.27216080636344,0.0,9.18042824074074
Additional Days,E28,0.5,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.5,PSL,0.0,0.0,0.0
Additional Days,E28,0.5,Roll Sleeve,0.0,5.551115123125783e-17,0.0
Additional Days,E28,0.5,Shrink Sleeve,0.0,0.0,0.0
Additional Days,E28,0.51,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.51,PSL,1.2762448058931,0.8246894594969376,0.0
Additional Days,E28,0.51,Roll Sleeve,0.003439310257328132,0.001955222802497769,0.06923773148148153
Additional Days,E28,0.51,Shrink Sleeve,0.21351999848452152,0.21778051493494388,0.0
Additional Days,E28,0.52,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.52,PSL,2.285839715154978,1.7420946259985328,0.0
Additional Days,E28,0.52,Roll Sleeve,0.006833418345213782,0.003893722884839357,0.13847546296296306
Additional Days,E28,0.52,Shrink Sleeve,0.42454693941207466,0.4333601299125007,0.0
Additional Days,E28,0.53,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.53,PSL,2.425254163426203,3.014065733903834,0.0
Additional Days,E28,0.53,Roll Sleeve,0.010183209570610363,0.005815713873750128,0.20771319444444458
Additional Days,E28,0.53,Shrink Sleeve,0.5097945350405695,0.5239099598854082,0.0
Additional Days,E28,0.54,PH Mono Films,0.0,0.0,0.0
