Line,Product Family,Base Polymer,Base Type,Additional Treatment,Width Material Attri,Thickness Material A,Quantity Good,Run Time Hours,Net Quantity Produced,Product Group,Color Group,Sales Quantity in KG,Net Sales Quantity in KG,Gross Sales,Freight Revenue Subtotal,Total Gross Sales Revenue,Sales Discounts,Term (Cash) Discounts,Claims (Returns),Bonus (Rebates),Net Sales I,Sales Price net per KG,Commissions Expense primary,Commissions Expense secondary,Direct Sales Costs,Net Sales II,Material Costs,Subcontracting,Added Value,Packing Material (pallets only),Packaging Overhead Variable,Energy & Supplies Variable,Contribution Margin I - C,Personnel Direct,Personnel Indirect,Maintenance Fix,Other Fixed Overhead,Corporate Allocated Costs Prod,Contribution Margin II - C,Research & Development,Selling exp. (Condition),"General, & Administrative (Condition)",EBITDA before Allocations,Adjusted EBITDA,Total Depreciation,EBIT,Product,Weight Adjusted EBITDA,Rate,Yield,EBITDA per Hr,EBITDA Rank,EBITDA per Hr Rank
K18,Cards Overlay,PVC,278/01,H140,620,60,3466.0,4.339444444444443,3466.0,Cards Coated Overlay-WF,TR,4541.4,4541.4,30796.83,0.0,30796.83,0.0,0.0,0.0,0.0,30796.83,6.781351565596513,0.0,0.0,-689.03,30107.8,12983.62,6585.03,11228.18,0.0,58.68,2319.03,8161.44,4097.23,6106.71,1503.64,1607.25,158.11,-5311.5,168.03,792.84,285.61,-6557.98,-6557.98,1820.64,-8378.62,PVC-278/01-H140-TR,-5005.055419033779,798.7197541928052,1.0,-1511.248751760338,24,24
K06,Shrink Sleeve,PVC,147/07,T25,577,40,1560.0,1.3011111111111109,1560.0,Shrink Sleeve,GC,3164.6,3164.6,8354.52,0.0,8354.52,0.0,0.0,0.0,-250.65,8103.87,2.5607880932819316,0.0,0.0,-402.68,7701.19,4817.11,0.0,3286.76,238.52,116.68,564.34,1964.54,902.29,1238.37,335.31,566.98,89.56,-1167.97,157.9,412.81,199.03,-1937.71,-1937.71,393.78,-2331.49,PVC-147/07-T25-GC,-955.2005308727803,1198.9752348420154,1.0,-1489.2732707087962,25,25
K06,Shrink Sleeve,PVC,148/05,T30,1015,40,45163.152,35.151111111111106,45363.152,Shrink Sleeve,GC,44198.0,44198.0,115786.03,0.0,115786.03,0.0,0.0,0.0,-2315.72,113470.31,2.5673177519344765,-4052.51,-2894.65,-20602.27,92868.04,72782.86,0.0,40687.45,3760.85,200.72,9252.63,6870.98,10699.84,22695.09,4539.87,8558.15,1359.11,-40981.08,2205.47,5765.63,2779.61,-51731.79,-51731.79,5587.15,-57318.94,PVC-148/05-T30-GC,-52861.457418934806,1290.5182956125936,0.9955911352897172,-1471.6971488178028,26,26
K06,Shrink Sleeve,PVC,147/07,T25,686,47,4093.9959999999996,3.1286111111111112,4093.9959999999996,Shrink Sleeve,TR,4470.1,4470.1,11777.68,0.0,11777.68,0.0,0.0,0.0,-536.44,11241.24,2.5147625332766603,0.0,0.0,-1067.78,10173.46,6667.59,0.0,4573.65,1061.51,22.98,912.51,1508.87,1166.57,2341.01,470.75,883.15,144.35,-3496.96,223.06,583.12,281.13,-4584.27,-4584.27,603.24,-5187.51,PVC-147/07-T25-TR,-4198.559997073891,1308.5665985971768,1.0,-1465.2731954186277,27,27
K06,Shrink Sleeve,PVC,148/05,T30,360,45,1632.0,2.226111111111112,1632.0,Shrink Sleeve,GC,5921.9,5921.9,16048.34,0.0,16048.34,-73.43,0.0,0.0,-479.25,15495.66,2.6166703254023203,0.0,0.0,-463.55,15032.11,9641.51,0.0,5854.15,448.26,22.0,1063.01,3857.33,1281.04,2606.63,524.38,1000.04,157.22,-1711.98,295.5,772.52,372.43,-3152.43,-3152.43,677.12,-3829.55,PVC-148/05-T30-GC,-868.7694422398217,733.1170451709507,1.0,-1416.1152982281005,28,28
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,306,140,1844.6,1.5811111111111107,1844.6,2D Drawer Wrapping Uni,WH,8577.9,8577.9,17472.6,0.0,17472.6,0.0,0.0,0.0,-142.6,17330.0,2.0203080007927348,0.0,0.0,-1008.92,16321.08,10593.94,0.0,6736.06,106.22,4.41,663.12,4953.39,1863.41,1346.53,632.88,782.83,255.51,72.23,454.45,1262.41,539.46,-2184.09,-2184.09,527.96,-2712.05,PVC-225/05-ZZZ-WH,-469.6688483195188,1166.6479269149686,1.0,-1381.3640196767394,29,29
K18,Cards Overlay,PVC,278/01,SB6,1050,80,6225.0,8.166111111111112,6225.0,Cards Coated Overlay,GC,11944.1,11944.1,54650.01,0.0,54650.01,-245.93,-1088.08,0.0,-2176.16,51139.84,4.2815984460947245,0.0,0.0,-1690.58,49449.26,33059.75,0.0,18080.09,1143.21,103.86,3173.6,11968.84,6162.17,8563.09,2201.28,2559.98,376.11,-7893.79,441.93,2085.2,751.16,-11172.08,-11172.08,2256.98,-13429.06,PVC-278/01-SB6-GC,-5822.64029939468,762.2967548812842,1.0,-1368.1028641404175,30,30
K40,Dec. Surfaces/others,PVC,252/29,ZZZ,700,120,182.0,0.9880555555555556,182.0,2D Uni,WH,118.0,118.0,323.93,0.0,323.93,0.0,0.0,0.0,0.0,323.93,2.745169491525424,0.0,0.0,-58.21,265.72,165.17,0.0,158.76,0.02,0.98,163.63,-64.08,562.63,330.08,105.69,198.88,33.69,-1295.05,6.25,17.37,7.42,-1326.09,-1326.09,168.69,-1494.78,PVC-252/29-ZZZ-WH,-2045.325254237288,184.20016868147317,1.0,-1342.1208883890918,31,31
K06,Shrink Sleeve,PVC,148/05,T30,470,45,2599.996,1.5805555555555555,2599.996,Shrink Sleeve,GC,5299.9,5299.9,14930.33,0.0,14930.33,-529.99,0.0,0.0,0.0,14400.34,2.7170965489914902,-518.41,0.0,-518.41,13881.93,8833.82,0.0,5566.52,157.73,16.93,914.55,3958.9,1152.46,2203.36,445.56,853.0,133.43,-828.91,264.47,691.37,333.31,-2118.06,-2118.06,579.7,-2697.76,PVC-148/05-T30-GC,-1039.0663083756301,1644.988681898067,1.0,-1340.0731107205625,32,32
K06,Shrink Sleeve,PVC,147/07,T25,668,40,1281.998,1.193888888888889,1281.998,Shrink Sleeve,GC,2077.0,2077.0,5753.3,0.0,5753.3,0.0,0.0,0.0,0.0,5753.3,2.7700048146364957,0.0,0.0,-301.68,5451.62,3057.41,0.0,2695.89,180.37,10.67,513.84,1689.33,663.39,1275.01,259.84,491.03,79.53,-1079.47,103.64,270.94,130.63,-1584.68,-1584.68,340.57,-1925.25,PVC-147/07-T25-GC,-978.1206502840636,1073.8000930665426,1.0,-1327.3261982317356,33,33
K06,Shrink Sleeve,PVC,148/07,T35,580,40,1383.9979999999994,1.268611111111111,1383.9979999999994,Shrink Sleeve,GC,1896.5,1896.5,6068.8,0.0,6068.8,0.0,0.0,0.0,-657.7,5411.1,2.8532032691800686,-212.41,0.0,-212.41,5198.69,3412.56,0.0,1998.54,298.07,9.82,414.19,1064.05,571.57,1043.23,208.29,401.83,61.6,-1222.47,94.64,247.39,119.28,-1683.78,-1683.78,278.09,-1961.87,PVC-148/07-T35-GC,-1228.762537537569,1090.955287935187,1.0,-1327.2625355813445,34,34
